Id;Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Scientific Name;Author;Rank;Listing;Party;Listed under
7334;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;manul;;Felis manul;Pallas, 1776;SPECIES;II;;Felidae spp.
9009;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;margarita;;Felis margarita;Loche, 1858;SPECIES;II;;Felidae spp.
6355;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;nigripes;;Felis nigripes;Burchell, 1824;SPECIES;I;;Felis nigripes
7300;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;silvestris;;Felis silvestris;Schreber, 1777;SPECIES;II;;Felidae spp.
3072;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;braccatus;;Leopardus braccatus;(Cope, 1889);SPECIES;II;;Felidae spp.
3049;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;colocolo;;Leopardus colocolo;(Molina, 1782);SPECIES;II;;Felidae spp.
3167;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;geoffroyi;;Leopardus geoffroyi;(d'Orbigny & Gervais, 1844);SPECIES;I;;Leopardus geoffroyi
7534;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;guigna;;Leopardus guigna;(Molina, 1782);SPECIES;II;;Felidae spp.
6408;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;jacobitus;;Leopardus jacobitus;(Cornalia, 1865);SPECIES;I;;Leopardus jacobitus
9189;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;pajeros;;Leopardus pajeros;(Desmarest, 1816);SPECIES;II;;Felidae spp.
10120;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;pardalis;;Leopardus pardalis;(Linnaeus, 1758);SPECIES;I;;Leopardus pardalis
3399;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;tigrinus;;Leopardus tigrinus;(Schreber, 1775);SPECIES;I;;Leopardus tigrinus
4427;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;wiedii;;Leopardus wiedii;(Schinz, 1821);SPECIES;I;;Leopardus wiedii
9160;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leptailurus;serval;;Leptailurus serval;(Schreber, 1776);SPECIES;II;;Felidae spp.
7928;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;canadensis;;Lynx canadensis;Kerr, 1792;SPECIES;II;;Felidae spp.
7414;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;lynx;;Lynx lynx;(Linnaeus, 1758);SPECIES;II;;Felidae spp.
8879;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;pardinus;;Lynx pardinus;(Temminck, 1827);SPECIES;I;;Lynx pardinus
4992;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;rufus;;Lynx rufus;(Schreber, 1777);SPECIES;II;;Felidae spp.
10199;Animalia;Chordata;Mammalia;Carnivora;Felidae;Neofelis;nebulosa;;Neofelis nebulosa;(Griffith, 1821);SPECIES;I;;Neofelis nebulosa
